NAME: view_employees | MOD: Empleados
NAME: create_employee | MOD: Empleados
NAME: edit_employee | MOD: Empleados
NAME: export_employees | MOD: Empleados
NAME: view_payroll | MOD: Nómina
NAME: calculate_payroll | MOD: Nómina
NAME: export_payroll | MOD: Nómina
NAME: view_periods | MOD: Periodos
NAME: create_period | MOD: Periodos
NAME: export_period | MOD: Periodos
NAME: view_novedades | MOD: Novedades
NAME: create_novedad | MOD: Novedades
NAME: edit_novedad | MOD: Novedades
NAME: delete_novedad | MOD: Novedades
NAME: approve_novedad | MOD: Novedades
NAME: view_provisions | MOD: Provisiones
NAME: view_provision_history | MOD: Provisiones
NAME: view_reports | MOD: Reportes
NAME: export_reports | MOD: Reportes
NAME: view_electronic_payroll | MOD: Nómina Electrónica
NAME: view_pila | MOD: PILA
NAME: export_pila | MOD: PILA
